
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   15:00:54  DEC 06, 2025 CP=      1.875

 simulazioneTrasduttoreUltrasonicoConConcentratore--Harmonic Response (E3)     



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    56900.       0.00000       0.00000      -4762.67       0.00000     
    57000.       0.00000       0.00000      -2352.10       0.00000     
    57100.       0.00000       0.00000      -1835.54       0.00000     
    57200.       0.00000       0.00000      -1609.44       0.00000     
    57300.       0.00000       0.00000      -1482.03       0.00000     
    57400.       0.00000       0.00000      -1399.90       0.00000     
    57500.       0.00000       0.00000      -1342.28       0.00000     
    57600.       0.00000       0.00000      -1299.45       0.00000     
    57700.       0.00000       0.00000      -1266.20       0.00000     
    57800.       0.00000       0.00000      -1239.52       0.00000     
    57900.       0.00000       0.00000      -1217.56       0.00000     
    58000.       0.00000       0.00000      -1199.08       0.00000     
    58100.       0.00000       0.00000      -1183.25       0.00000     
    58200.       0.00000       0.00000      -1169.49       0.00000     
    58300.       0.00000       0.00000      -1157.37       0.00000     
    58400.       0.00000       0.00000      -1146.58       0.00000     
    58500.       0.00000       0.00000      -1136.88       0.00000     
    58600.       0.00000       0.00000      -1128.07       0.00000     
    58700.       0.00000       0.00000      -1120.03       0.00000     
    58800.       0.00000       0.00000      -1112.62       0.00000     
    58900.       0.00000       0.00000      -1105.77       0.00000     
